RunNum_EventNum,Rev
134577_31638233,1
134599_66310113,0
134599_66310113,1
134552_68615710,1
134552_68615710,0
134535_41069485,1
134535_41069485,0
134533_53384881,1
134533_53384881,0
134512_71996695,1
134512_71996695,0
134498_12605830,1
134498_12605830,0
134482_27754576,1
134482_27754576,0
134354_59221243,1
134354_59221243,0
134327_10548129,0
134207_33533447,1
134207_33533447,0
134191_17593623,1
134191_17593623,0
134187_72386329,1
134187_72386329,0
134139_35473338,1
134139_35473338,0
134116_58596690,1
134116_58596690,0
134081_58268464,1
134081_58268464,0
134013_16038252,1
134013_16038252,0
133985_60770138,1
133985_60770138,0
133945_24635982,1
133945_24635982,0
133781_21701751,0
133644_43767651,1
133644_43767651,0
133634_1410505,1
133634_1410505,0
133609_37927131,1
133609_37927131,0
133572_82361476,1
133572_82361476,0
133433_29047901,1
133433_29047901,0
133394_27261780,1
133394_27261780,0
133348_80807014,1
133348_80807014,0
133331_47828126,2
133331_47828126,1
133331_47828126,0
133119_22683750,1
133119_22683750,0
133092_52499868,1
133091_81419,1
133092_52499868,0
133091_81419,0
132974_67924813,0
132910_57145925,1
132910_57145925,0
132814_44222682,1
132814_44222682,0
132792_60166398,1
132792_60166398,0
132768_5390846,1
132768_5390846,0
132707_54984442,1
132707_54984442,0
